text_indice	text	classe	prediction
341	Les glucides nous fournissent la plus grande partie de notre énergie, c'est grâce à eux que nous sommes actifs. On les trouve dans le sucre et dans tout ce qui contient du sucre : le miel, la confiture, le chocolat, les bonbons, les boissons sucrées. On les appelle rapides parce qu'ils sont comme un feu de paille, qui chauffe très fort et qui s'éteint très vite. Si bien qu'après, on a de nouveau faim et on peut même se sentir plus fatigué qu'avant.  Ils sont dans les céréales (blé, maïs, riz), les pommes de terre et les légumes secs.  Ces glucides-là se transforment plus lentement et nous donnent des forces plus longtemps.  Mais trop c'est trop : ils peuvent nous jouer un drôle de tour, un vrai tour de passe-passe qui fait que si l'on en mange trop, ils se transforment en graisses dans notre corps.     Les lipides, c'est un mot savant pour dire graisse. Comme les glucides, ils nous donnent de l'énergie et nous réchauffent sur le moment.  On trouve des lipides dans toutes les matières grasses : les huiles faites avec les plantes (arachide, olive, tourne- sol, mais, noix, noisette) et les graisses des animaux (le beurre qui est fait avec la crème du lait des vaches, le lard et le saindoux qui viennent du porc).	B1	"Le texte fourni est une explication des rôles des glucides et des lipides dans l'alimentation. Il utilise un langage clair et accessible, avec des exemples concrets et des explications simples. Les concepts sont présentés de manière à être compréhensibles pour un public ayant une connaissance intermédiaire de la langue. Le vocabulaire est varié mais reste dans le cadre d'un niveau intermédiaire, sans termes techniques très complexes.

Selon le Cadre européen commun de référence pour les langues (CECRL), ce texte correspond au niveau B1. Il nécessite une compréhension des points principaux d'un discours clair sur des sujets familiers régulièrement rencontrés au travail, à l'école, pendant les loisirs, etc.

Niveau CECR : **B1**"
2067	Fête et plaisirs partagés    Camille Roqueplan, Van Dyck à Londres, 1837  —  C’est la fête, les gens sont joyeux. Pendant que les invités partagent un délicieux dîner tout en se racontant des histoires drôles, d’autres jouent de la musique et chantent. On se croirait presque à un mariage. Tous les invités ont mis leurs plus beaux vêtements aux couleurs chaudes.  La salle de réception est richement décorée et éclairée. Les instruments sont différents mais la musique fait toujours partie de la fête et de la séduction. Il ne manque que des percussions pour que tous les invités se lèvent pour danser le Hip Hop. La fête est un moment agréable de la vie, elle permet d’oublier les soucis.  Makha Soumaré	A2	"Le texte décrit une scène festive avec des détails sur l'ambiance, les activités des invités et l'importance de la musique dans la fête. Il utilise un vocabulaire varié et des expressions idiomatiques pour décrire l'atmosphère et les émotions des participants. Les phrases sont bien structurées et montrent une certaine complexité syntaxique, notamment dans l'utilisation de subordonnées et de connecteurs logiques. Selon le Cadre européen commun de référence pour les langues (CECRL), ce texte correspond au niveau B1, car il nécessite une compréhension de descriptions et de narrations simples, tout en utilisant un vocabulaire et des structures grammaticales qui dépassent le niveau élémentaire.

Niveau CECR : **B1**"
1030	HEURES D'OUVERTURE    7 jours sur 7 : du lundi au dimanche inclus   De 10h à 18h (fermeture de la billetterie et dernière entrée dans le bâtiment à 17h30*)     HORAIRES MODIFIÉS   23 mars 2023 : De 12h à 18h   25 mai 2023 : De 12h à 18h   28 septembre 2023 : De 12h à 18h    24 et 31 décembre : De 10h à 16h   25 décembre et 1er janvier : De 12h à 18h   Fermé du 22 au 26 janvier inclus: Entretien annuel de l'ascenseur     *L' Atomium peut fermer plus tôt pour des raisons exceptionnelles.     Quelle heure choisir pour éviter la foule ?  Pour éviter la foule, il faut tout d’abord choisir un horaire de visite malin.  L'Atomium est ouverte de 10h à 18h. Si vous prévoyez d’y aller dans la matinée, nous vous conseillons de venir dès l'ouverture (10h). Évitez surtout les heures de pointe (de 11h à 15h), où les touristes abondent. A partir de 17h00, le flux des touristes a tendance à se réduire (fermeture de la billetterie à 17h30).  Nous vous invitons cependant à consulter nos pages Facebook et Google qui présentent en temps réel le nombre de visiteurs sur place.    Pics d'affluence  L'Atomium est une destination incontournable pour tous les touristes en visite à Bruxelles.  Durant les périodes de vacances [en Belgique et en Europe], l'Atomium peut connaître des pics d'affluence avec, pour conséquence, un allongement du temps d'attente.  Vu le taux d’affluence élevé, l’heure de réservation de votre ticket ne vous donne pas la priorité à l’entrée.	A2	"Le texte fourni est un guide informatif sur les heures d'ouverture et les conseils pour éviter la foule à l'Atomium. Il utilise un langage clair et des structures grammaticales simples pour fournir des informations pratiques. Les phrases sont bien structurées et le vocabulaire est accessible, même s'il inclut quelques termes spécifiques liés au tourisme et à la gestion des visiteurs. Selon le Cadre européen commun de référence pour les langues (CECRL), ce texte correspond au niveau A2, car il nécessite une compréhension de phrases courantes et de vocabulaire lié à des domaines familiers et de pertinence immédiate.

Niveau CECR : **A2**"
216	Horoscope de la semaine du 16 au 22 octobre 2023 pour la Balance (23 septembre - 22 octobre)    Une question de confiance. Côté cœur, le doute s’installe. Arrêtez de vous poser 1001 questions sur le pourquoi du comment, il ne m’a pas encore rappelé. Tout va bien ! Patience, vous allez vite recevoir des preuves d’amour au-delà de vos espérances. Faites confiance à votre intuition.  Le signe allié : Le Scorpion, il vous bouscule mais ses sentiments sont sincères et intenses.	A2	"Le texte est un horoscope hebdomadaire pour le signe de la Balance. Il utilise un langage courant et des expressions familières pour donner des conseils et des prédictions sur la vie amoureuse. Bien que le contenu soit spécifique et nécessite une certaine compréhension contextuelle, les structures grammaticales et le vocabulaire restent accessibles. Selon le Cadre européen commun de référence pour les langues (CECRL), ce texte correspond au niveau B1, car il exige une compréhension de descriptions et d'expressions courantes, tout en restant dans un registre de langue relativement simple.

Niveau CECR : **B1**"
211	Horoscope de la semaine du 11 au 17 décembre 2023 pour le Bélier (21 mars - 21 avril)    À la croisée des chemins. Côté pro, si vos objectifs sont clairs, concentrez rendez-vous et prises de décision avant la Nouvelle Lune du 13. Si vous hésitez, patience. De nouvelles idées émergent mais tout est à refaire.  Le signe allié : le Capricorne, il sécurise vos prises de décisions.	B1	"Le texte est un horoscope hebdomadaire pour le signe du Bélier. Il utilise un langage clair et des structures de phrases simples, avec un vocabulaire courant. Les conseils et prédictions sont formulés de manière concise et directe, sans complexité syntaxique ni terminologie spécialisée. Selon le Cadre européen commun de référence pour les langues (CECRL), ce texte correspond au niveau A2, car il est compréhensible pour un apprenant ayant une connaissance de base du français, capable de comprendre des phrases et des expressions fréquemment utilisées en relation avec des domaines immédiats de priorité (par exemple, informations personnelles et familiales simples, achats, géographie locale, emploi).
Niveau CECR : **A2**"
714	Il a neigé    Cette nuit, il a neigé.    Tout est blanc. C’est beau !    Il fait froid. Brrr !   Je me couvre bien avant de sortir.    Je mets un gros pull, un anorak, une écharpe, des gants, un bonnet et des bottes.   La neige, c’est froid, ça glisse.   Les enfants s’amusent.   Les enfants ont construit un bonhomme de neige.    Les enfants font une bataille de boules de neige.    Les voitures glissent sur la neige. Attention aux accidents !   Il faut enlever la neige avec une pelle.   Les arbres sont couverts de neige.    Je fais une promenade dans la neige.     Attention ! Ca glisse…il ne faut pas tomber.    Les oiseaux n’ont rien à manger.    Les oiseaux cherchent de la nourriture.	A2	"Le texte décrit une scène hivernale avec des phrases simples et courtes, utilisant un vocabulaire de base et des structures grammaticales élémentaires. Les phrases sont principalement descriptives et informatives, sans complexité syntaxique ni nuances lexicales. Ce type de texte correspond au niveau A1 du Cadre européen commun de référence pour les langues (CECRL), car il nécessite une compréhension et une utilisation d'expressions familières et quotidiennes ainsi que des énoncés très simples visant à satisfaire des besoins concrets.

Niveau CECR : **A1**"
2120	Informations sur le contrat de travail    Période d'essai  Combien de temps la période d'essai dure :  La période d’essai dure 3 mois.  La date de début et de la fin se trouve à la page 3 du contrat.  Vous ou l’APEMH peuvent annuler le contrat pendant la période d’essai.  La loi dit ce qu’on doit faire alors.  Si le contrat n'est pas annulé, il est définitif après la période d'essai.    Durée du travail et horaire  Combien d'heures vous travaillez :  Vous travaillez 40 heures par semaine.  Quand vous travaillez :  L’horaire normal se trouve à la page 3 du contrat.  Il peut arriver que vous travaillez samedi ou dimanche.  La pause de midi est comptée comme temps de travail.  L’APEMH peut changer l’horaire et la pause de midi si c’est nécessaire pour l’entreprise.    Salaire ou paye  Au Luxembourg beaucoup de gens disent « Paye » pour le salaire.  Votre salaire :  Vous recevez le salaire minimum, fixé par la loi.  C'est un salaire pour les personnes qui n'ont pas de diplôme (salarié non qualifié).  Quand vous recevez votre salaire et comment :  L’APEMH vous paye votre salaire une fois par mois sur votre compte de banque.	A2	"Le texte fourni est un document informatif sur les conditions d'un contrat de travail. Il utilise un langage clair et direct, avec des phrases relativement simples et des termes courants. Les informations sont présentées de manière structurée et accessible, ce qui facilite la compréhension pour un apprenant intermédiaire. Cependant, il contient quelques termes spécifiques au domaine du travail et des formulations qui nécessitent une certaine familiarité avec le contexte professionnel.

Selon le Cadre européen commun de référence pour les langues (CECRL), ce texte correspond au niveau B1, car il nécessite une compréhension des points essentiels lors d'une conversation standard sur des sujets familiers dans un contexte professionnel, sans complexité linguistique excessive.

Niveau CECR : **B1**"
534	Je raconte ma journée     Hier, samedi 6 mars   A 8 heures, je me suis levée. J’ai pris ma douche puis je me suis brossé les cheveux et je me suis brossé les dents. Je me suis habillée.    A 9h moins le quart, j’ai préparé le petit-déjeuner et à 9h nous avons mangé.    A 9h  et demi, j’ai nettoyé la cuisine et la terrasse.    A 10h, j’ai planté des graines de légumes dans des petits pots.    J’ai mis les pots au soleil près de la fenêtre.    A 11h 30, j’ai préparé le repas de midi.    A midi et quart, nous avons mangé.    A 13H, nous avons fait une petite sieste devant la télé.    A 14h, nous sommes allés faire une promenade à vélo. Le soleil était là mais il faisait froid.    A 17h, nous sommes rentrés et j’ai lu dans le fauteuil.    A 18h30, nous avons pris le repas du soir.    Le soir, nous avons regardé la télévision. Le journal télévisé puis l’émission « The voice ».    Vers 23 heures, nous nous sommes couchés.	A2	"Le texte fourni est un récit simple et chronologique d'une journée, utilisant des phrases courtes et un vocabulaire de base. Les structures grammaticales sont élémentaires, et les descriptions sont directes et sans complexité. Ce type de narration correspond au niveau A2 du Cadre européen commun de référence pour les langues (CECRL), car il nécessite une compréhension de phrases courantes et de vocabulaire lié à des situations quotidiennes.

Niveau CECR : **A2**"
836	Etre zen pour être gros    Le découragement me saisissait souvent; pour me remettre sur le bon chemin, je me répétais une phrase de Shomintsu : « J'ai dit que c'était possible, pas que c'était facile. » […]   – Pourriez-vous m'aidez à maîtriser mes pensées et mon corps?  – Assieds-toi sur le sol en face de moi, bascule le bassin vers l'avant, redresse la colonne vertébrale, concentre-toi sur la verticalité de ta posture. […]  Pendant deux semaines, j'essayai. En vain. Mes pensées demeuraient mes pensées, ma conscience barbotait dans ma conscience, pas ailleurs. Impossible. Nouvel échec, maître. Que faire ?  – Allons au jardin.  – Nous allons jardiner ?  – Non, allons au jardin zen. […]  C'est alors que l'expérience se produisit. Au début, je crus à un malaise. Quoique demeurant assis, j'éprouvai une étrange sensation. Ça tournait en moi. Ça tournait autour de moi. Je ne savais si je subissais une vague ou si je devenais une vague. Quelque chose se préparait, quelque chose d'énorme, d'immense, de tonitruant.  Puis une force s'introduisit, me gonfla, me porta, me souleva. Je subis une explosion douce, pas douloureuse, au contraire. Mon corps éclata avec volupté, abandonna ses limites, et ma peau qui se déchirait partit flotter, en plusieurs morceaux épars, disjoints, au-dessus du jardin. Celui-ci avait changé de taille, la simple pierre s'était transformée en montagne, les graviers en lacs, le sable en mer de nuages. Le jardin avait cédé la place à un jardin invisible qui dégageait une énergie bienfaisante.	B1	"Le texte présente une narration personnelle et descriptive avec des éléments de réflexion intérieure et des expériences sensorielles. Il utilise un langage métaphorique et poétique pour décrire des états émotionnels et spirituels complexes. La structure narrative est élaborée, et le vocabulaire est riche et varié, incluant des termes et des expressions qui nécessitent une compréhension approfondie de la langue.

Selon le Cadre européen commun de référence pour les langues (CECRL), ce texte correspond au niveau C1, car il exige une compréhension détaillée de textes longs et complexes, ainsi qu'une capacité à reconnaître des significations implicites et à apprécier les différences de style.

Niveau CECR : **C1**"
1139	APPARTEMENTS, STUDIO ET GARAGES A LOUER : OFFRES    1. ANGLEUR, quai des Ardennes, appt 6e ét., 2 ch. à c., liv., cuis. meublée, s.d.b., chff. c., parf. état. Tél. 041/ 67.44.83  2. HERSTAL : à louer appart. 1er ét., chauf. c., 2 ch., s.d.b., terrasse, à couple tranqu. 850€/m. Tél. 041/64.53.29 sauf W.-E.  3. HERSTAL-CONRONMEUSE, conf. ch. mblée, pr mons. seul. Matin 041/64.07.64  4. LGE GUILLEMINS, std. à L., s.d.b., cuis. équ. Tél. ap. 17h 041/87.42.94  5. LGE NORD, à I. appt. 1 et 2 ch., stud. mblé et non mblé. Tél. apr. 17h 041/87.42.94.  6. LIÈGE : appt. 2 ch., asc., 2e ét., Rue des Rivageois, 5. Tél. 041/53.07.44.  7. LIÈGE, à 1. appt. commo. divers., asc. Tél. 23.10.59 ou 23.60.67  8. LIÈGE, à 1. ch. mblée. Ch. c., frigo, s.d.b., Vis. 4 à 5h, avenue Blonden, 5.  9. LIÈGE, à 1. studio gd. stand., 1er ét. Quai Marcellis, Tél. 080/33.05.93  10. LIÈGE : studio à louer rue Chéravoie. Téléphone 041/33.50.24.  11. LIÈGE (Bavière), appt. 2 ch. ds mais. part. s/quai. 041/41.29.16. Pas de charge.  12. LIÈGE Centre, bel appt. mod. 2 ch., poss. gar. Téléphone 02/770.17.46	B1	"Le texte fourni est une liste d'annonces de locations d'appartements, studios et garages. Il utilise des abréviations courantes et un vocabulaire spécifique au domaine immobilier. Les phrases sont courtes et informatives, mais elles nécessitent une compréhension de termes techniques et d'abréviations (appt pour appartement, ch. pour chambre, s.d.b. pour salle de bain, etc.). Selon le Cadre européen commun de référence pour les langues (CECRL), ce texte correspond au niveau B1, car il demande une compréhension de descriptions et d'informations pratiques dans un domaine spécifique, tout en restant accessible à un apprenant intermédiaire.

Niveau CECR : **B1**"
1143	APPARTEMENTS, STUDIO ET GARAGES A LOUER : OFFRES    16. LIEGE, rue Basse-Wez, bel appt. à 1., 2e ét., s.d.b. éq. Tél. 041/63.54.45.  17. LIEGE, rue St Gilles, à 1. appt., s.d.b., tt ut. Tél. 041/36.91.69  18. LIEGE, rue Raikem, 19 (Guillemins): à louer, chambre meublée, frigo (s.d.b.). Vis. 15 à 18h.     19. LA MAISON BLANCHE, 350 RUE DES VENNES, LIEGE  STUDIOS DANS IMMEUBLE 3 MINUTES CENTRE - PARKING INTERIEUR,  GARAGES PRIVES, TEL, 041/43.00.23    20. LIEGE-BAVIÈRE, appt. 3 pces à 1. s. quai. Tel. 41.29.16.  21. SCLESSIN : à 1. appt. 1 ch., s.d.b., liv., cuis. Rue E. Solvay, 354. T. 041/33.50.24.  22. SPRIMONT : 30, rue de Dampré, appt. 1er ét., 4 ch., ch. centr. Libre 1/8/85. 1500 €. Tél. 041/82.12.04, Vis. ts les jours, de 17 à 18h.  23. A l. appt. 2 ch., grd. liv., avec terras. et feu ouv., cuis., s.d.b. éq., cave, gar., chff. ind. Téléphone : 041/54.15.59  24. Al. plein centre, bel appt. cadre ancien, vue poétique. Tél. 041/51.64.21, de 10 à 16h.	B1	"Le texte est une série d'annonces immobilières pour des appartements, studios et garages à louer. Les descriptions sont concises et utilisent des abréviations courantes (appt. pour appartement, s.d.b. pour salle de bain, etc.). Le vocabulaire est spécialisé mais reste compréhensible pour quelqu'un ayant une expérience de la location immobilière. La structure des phrases est simple et directe.

Selon le Cadre européen commun de référence pour les langues (CECRL), ce texte correspond au niveau B1. Il nécessite une compréhension des descriptions détaillées et des abréviations spécifiques au domaine immobilier, tout en restant accessible à un apprenant ayant une bonne maîtrise de la langue.

Niveau CECR : **B1**"
1869	Louis, tu n’as pas encore fini de copier ta leçon, dépêche-toi !  À l’école primaire d’Arbois, la petite ville où il vient d’emménager avec sa famille, Louis est un élève attentif et sérieux, mais ses maîtres le trouvent trop lent. Chaque soir pourtant, son père regarde ses cahiers et lui fait réciter sa leçon. Celui-ci est tanneur. Il travaille les peaux jusqu’à ce qu’elles deviennent lisses et polies et les laisse tremper dans des fosses aménagées sous la maison. Les journées sont épuisantes. Mais cet ancien soldat de l’empereur Napoléon Ier est passionné par les sciences et l’histoire. Il a quitté l’école de bonne heure pour apprendre son métier et regrette de ne pas avoir prolongé ses études. Aussi, lorsque la nuit est tombée, à la faible lueur d’une chandelle, lit-il des traités de physique, des livres de grammaire… et en discute avec son fils. Devenu un savant, Louis continuera toujours à tenir son père au courant de ses recherches.  La maison des Pasteur donne sur la route de Lyon à Strasbourg  et borde une rivière, la Cuisance, l’eau étant indispensable à la  tannerie. Côté jardin, une galerie court sur toute la façade. De là, on voit le vieux clocher de l’église Saint-Just, puis les collines douces couvertes de vignes. En mars, lorsque la neige fond sur les monts du Jura, le débit de la Cuisance est très rapide. Si Louis et ses sœurs, Virginie  et Joséphine, s’amusent à lancer une branche dans la rivière, ils ont de la peine à la suivre. Le bout de bois est déjà passé sous la route, avant que les enfants n’aient couru de l’autre côté.  À douze ans, Louis entre au collège de la ville ; il obtient la permission de rester parfois veiller le soir avec les invités de ses parents. Certains viennent souvent : le médecin de la ville, un historien qui connaît toutes les aventures des habitants d’Albois à l’époque du roi Henri IV et le principal du collège, monsieur Romanet. Celui-ci se prend d’amitié pour Louis. Il a remarqué que cet élève moyen sait très bien écouter et surtout observer ce qui l’entoure.	B1	"Le texte fourni est un récit biographique détaillé, décrivant la vie et les habitudes de Louis et de sa famille. Il contient des descriptions précises des activités quotidiennes, des interactions familiales et des éléments historiques et géographiques. Le langage utilisé est riche et varié, avec des phrases complexes et un vocabulaire spécifique (par exemple, ""tanner"", ""Cuisance"", ""clocher"", ""collines douces""). Le texte nécessite une compréhension approfondie pour saisir les nuances des relations familiales, les descriptions des lieux et les références historiques.

Selon le Cadre européen commun de référence pour les langues (CECRL), ce texte correspond au niveau B2, car il demande une bonne compréhension des descriptions détaillées, des structures syntaxiques complexes et d'un vocabulaire varié.

Niveau CECR : **B2**"
267	Prévision météo Bruxelles     Mardi 12 décembre  Sainte Jeanne-Françoise de Chantal  Levé du soleil 08:33  Couché du soleil 16:38    Matin  7°C    Après-midi  11°C    Soir  10°C    Nuit  9°C    Instable avec un ciel majoritairement nuageux et un risque d'averses notamment présent entre l'après-midi et la nuit suivante.    Records  Chaleur 13.5°C (2000)  Froid -13.3°C (1844)  Normale mini 2.4°C  Normale maxi 6.4°C	A1	"Le texte est une prévision météorologique pour Bruxelles. Il utilise un langage clair et précis, avec des termes météorologiques courants et des phrases simples. Les informations sont présentées de manière structurée, avec des détails sur les températures et les conditions météorologiques. Ce type de texte est compréhensible pour un apprenant ayant un niveau intermédiaire en français, capable de comprendre des descriptions factuelles et des informations pratiques.

Selon le Cadre européen commun de référence pour les langues (CECRL), ce texte correspond au niveau B1, car il nécessite une compréhension de descriptions simples et de vocabulaire courant lié à la météo.

Niveau CECR : **B1**"
1088	Pour planter un rosier    A) Placer le rosier dans le trou de plantation, le point de greffe au niveau du terrain.  B) Quand le trou est rempli et tassé, bien arroser pour que la terre colle aux racines.  C) Creuser un trou assez large et profond pour pouvoir y loger les racines sans les plier : 50 cm de long et de large et 30/40 cm de profondeur environ.  D) Combler le trou de plantation en versant la terre ameublie* entre les racines. Tasser la terre au pied du rosier.  E) Avant de planter, couper au sécateur le bout des racines et praliner** le rosier.  *Terre ameublie : fine, sans motte, sans caillou.   **Praliner : tremper les racines dans un mélange d'eau et de terre argileuse.	A2	"Le texte fourni est une série d'instructions claires et précises pour planter un rosier. Il utilise un vocabulaire technique spécifique au jardinage et des structures grammaticales variées, incluant des impératifs et des descriptions détaillées. La compréhension de ce texte nécessite une certaine familiarité avec le vocabulaire spécialisé et la capacité de suivre des instructions complexes. Selon le Cadre européen commun de référence pour les langues (CECRL), ce texte correspond au niveau B1, car il demande une compréhension de textes factuels et d'instructions détaillées, tout en restant accessible à un apprenant intermédiaire.

Niveau CECR : **B1**"
